date,currency,p2p_avg_price,official_exchange_rate,premium_abs,premium_pct
2025-12-08,EUR,0.8700959077592505,0.86,0.010095907759250511,1.1739427627035504
2025-12-09,EUR,0.8720563220402449,0.86,0.012056322040244871,1.4018979116563912
2025-12-10,EUR,0.8728200998514868,0.86,0.0128200998514868,1.4907092850566128
2025-12-11,EUR,0.8700030196902168,0.86,0.010003019690216775,1.163141824443814
2025-12-12,EUR,0.8677208984819269,0.85,0.017720898481926928,2.0848115861090477
2025-12-15,EUR,0.8681722265236138,0.85,0.018172226523613833,2.1379090027781045
2025-12-16,EUR,0.8667908721774162,0.85,0.01679087217741626,1.9753967267548633
2025-12-17,EUR,0.8669919265220484,0.85,0.016991926522048395,1.999050179064521
2025-12-18,EUR,0.866552867189649,0.85,0.01655286718964899,1.9473961399587125
2025-12-19,EUR,0.8657361337227413,0.85,0.015736133722741297,1.8513098497342728
2025-12-22,EUR,0.8623440400411939,0.85,0.012344040041193938,1.452240004846339
2025-12-23,EUR,0.8617999537205486,0.85,0.01179995372054865,1.388229849476308
2025-12-24,EUR,0.8620371641899253,0.85,0.012037164189925287,1.4161369635206311
2025-12-29,EUR,0.8554229127745256,0.85,0.005422912774525668,0.6379897381795008
